15 19783  0.116 0 0  0 0 0   0.8126264076501537  
15 19782  0.1159823326381414 0.002024479146724887 0  0.0174532925199433 0 0   0.8134832081959298  
15 19780  0.1159293359342151 0.004048341617490112 0  0.03490658503988659 0 0   0.8073435331478387  
15 19225  0.1158410260315306 0.006070970924181485 0  0.05235987755982989 0 0   0.4847683784448158  
15 19224  0.1157174298301396 0.008091750954318536 0  0.06981317007977318 0 0   0.3538797965106864  
15 19223  0.1155585849786425 0.01011006615872835 0  0.08726646259971647 0 0   0.4898260005274505  
15 19222  0.1153645398627197 0.0121253017390478 0  0.1047197551196598 0 0   0.6397454533864213  
15 19771  0.1151353535903934 0.01413684383499711 0  0.1221730476396031 0 0   0.6530281021674398  
15 19769  0.1148710959740222 0.01614407971136759 0  0.1396263401595464 0 0   0.6520861800585871  
15 19768  0.114571847509036 0.01814639794466678 0  0.1570796326794897 0 0   0.6545021471782525  
15 19766  0.1142376993494161 0.02014318860936392 0  0.1745329251994329 0 0   0.4952051754827927  
15 19218  0.113868753279929 0.0221338434636792 0  0.1919862177193762 0 0   0.3274277525269184  
15 19217  0.1134651216851215 0.02411775613486008 0  0.2094395102393195 0 0   0.2878919063724171  
15 19216  0.1130269275150873 0.02609432230388834 0  0.2268928027592628 0 0   0.4224244153825253  
15 19215  0.1125543042480156 0.02806293988956145 0  0.2443460952792061 0 0   0.4856458176416912  
15 19214  0.1120473958495319 0.03002300923189241 0  0.2617993877991494 0 0   0.4879811158784492  
15 19755  0.111506356728845 0.0319739332747719 0  0.2792526803190927 0 0   0.4852578027608532  
15 19753  0.1109313516917121 0.03391511774783747 0  0.296705972839036 0 0   0.3799184864996062  
15 19752  0.1103225558902378 0.03584597134749391 0  0.3141592653589794 0 0   0.2772117220883035  
15 19750  0.1096801547695207 0.03776590591703018 0  0.3316125578789227 0 0   0.1866558226966326  
15 19210  0.1090043440111654 0.03967433662577759 0  0.349065850398866 0 0   0.2200497463726119  
15 19209  0.1082953294736754 0.04157068214725484 0  0.3665191429188093 0 0   0.3057679071093791  
15 19208  0.1075533271297473 0.04345436483624582 0  0.3839724354387526 0 0   0.3247503485638462  
15 19207  0.1067785630004831 0.04532481090475577 0  0.401425727958696 0 0   0.3242045494827336  
15 19206  0.1059712730865417 0.04718145059679284 0  0.4188790204786393 0 0   0.2992769519621595  
15 19739  0.1051317032962514 0.04902371836192115 0  0.4363323129985826 0 0   0.1804039618422281  
15 19737  0.1042601093707034 0.050851053027533 0  0.4537856055185259 0 0   0.1119722657976054  
15 19736  0.1033567568058507 0.05266289796978746 0  0.4712388980384692 0 0   0.106556798522079  
15 19734  0.1024219207716355 0.05445870128316336 0  0.4886921905584126 0 0   0.1572873619836439  
15 19202  0.1014558860281699 0.05623791594857512 0  0.5061454830783558 0 0   0.1604191817100306  
15 19201  0.1004589468389949 0.05800000000000003 0  0.5235987755982991 0 0   0.1643930275206112  
15 19200  0.09943140688144501 0.05974441668956632 0  0.5410520681182425 0 0   0.1635593264544199  
15 19199  0.09837357915414541 0.06147063465105181 0  0.5585053606381858 0 0   0.1280000419968545  
15 19725  0.09728578588166917 0.06317812806174318 0  0.5759586531581291 0 0   0.04738474902216643  
15 19723  0.09616835841638482 0.06486637680260667 0  0.5934119456780724 0 0   0.009384269816420968  
15 19721  0.09502163713752303 0.06653486661672138 0  0.6108652381980157 0 0   -0.01761933871940854  
15 19720  0.09384597134749388 0.06818308926592692 0  0.6283185307179591 0 0   -0.02109815886797314  
15 19718  0.09264171916548594 0.06981054268563765 0  0.6457718232379024 0 0   -0.0211701438754275  
15 19194  0.09140924741837972 0.0714167311377764 0  0.6632251157578457 0 0   -0.0216922641189419  
15 19193  0.09014893152900859 0.0730011653617812 0  0.680678408277789 0 0   -0.02185102441595223  
15 19192  0.08886115540180141 0.07456336272363862 0  0.6981317007977323 0 0   -0.02260827065185529  
15 19191  0.08754631130584152 0.07610284736289889 0  0.7155849933176757 0 0   -0.03350662904720021  
15 19709  0.0862047997553777 0.0776191503376276 0  0.733038285837619 0 0   -0.05528756112444294  
